cod;regiao;uf;city;capital;population;idhf;pib;latitude;longitude
1100015;Norte;RO;Alta Floresta D'Oeste;False;22728;0.609139;19611.75;-11.9283;-61.9953
1100023;Norte;RO;Ariquemes;False;109523;0.753049;21389.67;-9.90571;-63.0325
1100031;Norte;RO;Cabixi;False;5188;0.59103;22315.8;-13.4945;-60.552
1100049;Norte;RO;Cacoal;False;85893;0.748255;24037.91;-11.4343;-61.4562
1100056;Norte;RO;Cerejeiras;False;16204;0.663645;25009.71;-13.187;-60.8168
1100064;Norte;RO;Colorado do Oeste;False;15544;0.658608;18413.74;-13.1174;-60.5454
1100072;Norte;RO;Corumbiara;False;7220;0.679622;38156.05;-12.9551;-60.8947
1100080;Norte;RO;Costa Marques;False;18798;0.570118;12413.35;-12.4367;-64.228
1100098;Norte;RO;Espigão D'Oeste;False;32695;0.660034;17498.71;-11.5266;-61.0252
1100106;Norte;RO;Guajará-Mirim;False;46556;0.550613;16955.8;-10.7889;-65.3296
1100114;Norte;RO;Jaru;False;51620;0.670903;25301.65;-10.4318;-62.4788
1100122;Norte;RO;Ji-Paraná;False;130009;0.772921;22814.71;-10.8777;-61.9322
1100130;Norte;RO;Machadinho D'Oeste;False;40867;0.553347;15724.6;-9.44363;-61.9818
1100148;Norte;RO;Nova Brasilândia D'Oeste;False;20489;0.575692;16598.42;-11.7247;-62.3127
1100155;Norte;RO;Ouro Preto do Oeste;False;35737;0.684402;19560.69;-10.7167;-62.2565
1100189;Norte;RO;Pimenta Bueno;False;36881;0.74594;28288.63;-11.672;-61.198
1100205;Norte;RO;Porto Velho;True;539354;0.698468;31793.2;-8.76077;-63.8999
1100254;Norte;RO;Presidente Médici;False;18571;0.596751;18760.18;-11.169;-61.8986
1100262;Norte;RO;Rio Crespo;False;3804;0.67879;27767.17;-9.69965;-62.9011
1100288;Norte;RO;Rolim de Moura;False;55407;0.688217;22734.08;-11.7271;-61.7714
1100296;Norte;RO;Santa Luzia D'Oeste;False;6216;0.634163;19347.7;-11.9074;-61.7777
1100304;Norte;RO;Vilhena;False;102211;0.761274;26723.64;-12.7502;-60.1488
1100320;Norte;RO;São Miguel do Guaporé;False;23077;0.630508;26876.64;-11.6953;-62.7192
1100338;Norte;RO;Nova Mamoré;False;31392;0.517375;16372.8;-10.4077;-65.3346
1100346;Norte;RO;Alvorada D'Oeste;False;14106;0.656697;15685.89;-11.3463;-62.2847
